┏━━━━━━━━━━━┳━━━━━━━━┳━━━━━━━━┳━━━━━━━━┳━━━━━━━━┓
┃ id        ┃ lista1 ┃ lista2 ┃ prova1 ┃ prova2 ┃
┡━━━━━━━━━━━╇━━━━━━━━╇━━━━━━━━╇━━━━━━━━╇━━━━━━━━┩
│ 170107574 │ 1.00   │ -      │ 5.42   │ 8.50   │
│ 180019066 │ 1.00   │ -      │ 8.92   │ 10.00  │
│ 180029240 │ -      │ -      │ 5.50   │ 9.50   │
│ 180097181 │ 0.00   │ -      │ 5.25   │ 4.50   │
│ 180098683 │ 2.00   │ 4.00   │ 7.50   │ 10.00  │
│ 180100271 │ 0      │ -      │ 7.75   │ 10.00  │
│ 180102761 │ 1.00   │ 4.00   │ 7.75   │ 9.83   │
│ 180113585 │ 1.00   │ 4.00   │ 5.25   │ 0      │
│ 180125974 │ 2.00   │ -      │ 7.92   │ 10.00  │
│ 180127969 │ 0.00   │ 4.00   │ 4.59   │ 10.00  │
│ 180144979 │ 2.00   │ 4.00   │ 8.75   │ 10.00  │
│ 190029692 │ 2.00   │ 4.00   │ 8.59   │ 10.00  │
│ 190036427 │ -      │ -      │ 5.25   │ 10.00  │
│ 190036761 │ -      │ 0      │ 7.67   │ 0      │
│ 190042303 │ 0.00   │ 4.00   │ 8.75   │ 10.00  │
│ 190084570 │ 0.00   │ 4.00   │ 9.25   │ 9.67   │
│ 190088168 │ 2.00   │ 4.00   │ 7.66   │ 9.83   │
│ 190093421 │ 1.00   │ -      │ 8.92   │ 10.00  │
│ 190093625 │ 1.00   │ -      │ 8.25   │ 9.50   │
│ 190104821 │ 2.00   │ -      │ 7.92   │ 10.00  │
│ 190107243 │ 2.00   │ -      │ 8.92   │ 10.00  │
│ 190115548 │ 2.00   │ 4.00   │ 6.50   │ 10.00  │
│ 190118555 │ 2.00   │ -      │ 8.83   │ 10.00  │
│ 190129221 │ 2.00   │ -      │ 6.25   │ 10.00  │
│ 200020323 │ 0      │ 4.00   │ 6.84   │ 6.50   │
│ 200020625 │ 0      │ -      │ 3.25   │ 10.00  │
│ 200024868 │ 2.00   │ -      │ 8.59   │ 10.00  │
│ 200028154 │ 2.00   │ 4.00   │ 8.75   │ 10.00  │
│ 200036351 │ 2.00   │ 4.00   │ 8.75   │ 0      │
│ 200044559 │ 1.00   │ -      │ 7.09   │ 8.17   │
│ 200054333 │ 2.00   │ -      │ 9.83   │ 10.00  │
│ 200061216 │ 1.00   │ -      │ 8.09   │ 10.00  │
│ 202015901 │ 0.00   │ 0.63   │ 7.92   │ 10.00  │
│ 202016328 │ 2.00   │ -      │ 5.84   │ 10.00  │
│ 202017503 │ 0.00   │ 4.00   │ 6.08   │ 10.00  │
│ 202017521 │ 0.00   │ -      │ 7.75   │ 10.00  │
│ 202017700 │ 1.00   │ -      │ 9.25   │ 10.00  │
│ 202023968 │ -      │ -      │ 8.50   │ 8.00   │
│ 202028973 │ 2.00   │ -      │ 8.00   │ 10.00  │
│ 202042927 │ 0      │ -      │ 8.25   │ 10.00  │
│ 202045965 │ 1.00   │ 0.63   │ 8.83   │ 10.00  │
│ 202046102 │ 2.00   │ 4.00   │ 8.67   │ 9.58   │
│ 202046229 │ 2.00   │ 4.00   │ 6.50   │ 9.00   │
│ 202063201 │ 2.00   │ 4.00   │ 7.83   │ 9.67   │
│ 211029361 │ 1.00   │ 4.00   │ 10.00  │ 10.00  │
│ 211029497 │ 1.00   │ 4.00   │ 9.25   │ 9.83   │
│ 211030658 │ 2.00   │ 4.00   │ 7.84   │ 10.00  │
│ 211030961 │ 2.00   │ 4.00   │ 9.09   │ 9.17   │
│ 211031074 │ 1.00   │ 0      │ 4.00   │ 0      │
│ 211031628 │ 2.00   │ 4.00   │ 7.67   │ 9.83   │
│ 211039312 │ 1.00   │ 4.00   │ 9.25   │ 10.00  │
│ 211039546 │ 1.00   │ 3.00   │ 4.67   │ 6.33   │
│ 211039573 │ 2.00   │ 4.00   │ 4.34   │ 10.00  │
│ 211039671 │ 2.00   │ 4.00   │ 5.75   │ 10.00  │
│ 211039680 │ 2.00   │ 4.00   │ 8.25   │ 0      │
│ 211041080 │ 2.00   │ 0.63   │ -      │ 4.83   │
│ 211042327 │ 0.00   │ -      │ 6.00   │ 9.75   │
│ 211045113 │ 2.00   │ 4.00   │ 4.59   │ 9.75   │
│ 211061331 │ 2.00   │ -      │ 8.67   │ 10.00  │
